Timer,Time (s),MFLOPS (mops/s),FLOP (op)
Solver Setup,0.264700,0.000000,0
Solver,5634.464600,1491.963512,8.40642e+12
Richards Exclude 1st Time Step,5632.279900,1492.369336,8.40544e+12
Solver Cleanup,0.004700,0.000000,0
Matvec,106.610300,19125.963506,2.03902e+12
PFSB I/O,0.000000,0.000000,0
PFB I/O,2791.751200,0.000000,0
CLM,195.028700,0.000000,0
PFSOL Read,0.000000,0.000000,0
Clustering,0.362800,0.000000,0
Permeability Face,0.000000,0.000000,0
Godunov Advection,0.000000,0.000000,0
Geometries,0.373400,0.000000,0
SubsrfSim,0.013200,0.000000,0
Porosity,0.000100,0.000000,0
PhaseRelPerm,816.634300,0.000315,257188
PFMGOctree,456.865000,0.000000,0
HYPRE_Copies,50.707800,0.000000,0
NL_F_Eval,331.977800,0.000199,66116
KINSol,2831.721500,2948.189022,8.34845e+12
Total Runtime,5638.054700,-nan,0
